id;screen_name;name;location;url;description;verified;follower;following;lists;likes;tweets;created;lang;bkg-image;profile-image
913123243275505664;vueconfus;VueConf.US;New Orleans, LA;https://t.co/fmv6Qgv0jh;The Official Vue.js Conference in the US, March 26-28 2018;False;372;31;9;14;37;2017-09-27 19:28:41;en;;http://pbs.twimg.com/profile_images/924855203215667200/qeTBLV6i_normal.jpg
912940545500205057;sipgateDevDays;sipgateDevDays;Düsseldorf, Deutschland;https://t.co/btHUGJmTgC;Die Konferenz von Entwicklern für Entwickler! Mit typischer sipgate-Wohlfühlgarantie.;False;49;3;2;4;7;2017-09-27 07:22:42;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/912943595019292673/0dqm3dI9_normal.jpg
878679838243999749;TheAIConf;TheAIConf;San Francisco, CA;https://t.co/VcnteyIrV8;The latest artificial intelligence content from @OReillyMedia + updates on #TheAIConf, co-presented with @IntelNervana @IntelAI in SF & NY;False;1567;386;41;45;391;2017-06-24 18:22:53;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/880196339945975808/cKa8xxj0_normal.jpg
877081677255888896;jvmconference;jvmconference;Köln, Deutschland;https://t.co/WBH1pFN6bA;27.-28. November 2018 in Cologne about the Java Virtual Machine and more;False;188;813;6;25;55;2017-06-20 08:32:22;de;;http://pbs.twimg.com/profile_images/877184066398945280/KKPle5kf_normal.jpg
867319166205931520;FrontierExpo;Frontier Expo 2017;London, England;https://t.co/bklxsSATql;Frontier Developments Expo 2017 - October 7th 2017;False;1939;8;5;114;92;2017-05-24 09:59:38;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/890166141741654016/Hdcc1Dur_normal.jpg
860427617136259072;jcon_conference;JCON;Duesseldorf, Germany;https://t.co/F5lPZvUuFv;24. - 26. Oktober 2017 - Die große Java Community Konferenz - Frei für alle Java User Group Mitglieder !;False;310;2975;14;41;193;2017-05-05 09:35:04;en;;http://pbs.twimg.com/profile_images/860428659659862016/nVYRFjFq_normal.jpg
851942096705662978;TheFrontConf;FrontConf;Munich;https://t.co/1qrqnQ9hSQ;The Frontend Conference;False;578;122;5;89;97;2017-04-11 23:36:38;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/922580323334017025/A8bSlHe6_normal.jpg
846858451171053569;jrubyconfuk;JRubyConf UK;United Kingdom;https://t.co/zzZ8MmqLhy;JRubyConf is coming to the UK in August 2017!;False;49;48;7;8;6;2017-03-28 22:56:03;en-gb;;http://pbs.twimg.com/profile_images/846865437757526018/OvYwdsD3_normal.jpg
827199837942714369;Devcom_conf;Devcom;Köln, Deutschland;https://t.co/Q6ehc1KINc;Join #devcom2017 and be part of this great developer conference during gamescom 2017! 20-24 of August 2017 in Cologne! Follow us, share us, be part of devcom!;False;646;173;8;334;216;2017-02-02 16:59:44;de;;http://pbs.twimg.com/profile_images/879686267470008320/LEww283v_normal.jpg
816694473296068608;DevOpsGathering;DevOps Gathering;Bochum, Germany;https://t.co/tixpsRPfrp;Conference, February 19 - 21, 2018. Organized by @bee42solutions. All about #devops, #containers, #docker, #kubernetes, #security, #cloud 🐝;False;373;149;17;2656;952;2017-01-04 17:15:10;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/819227753643917316/t8Q9I3Ui_normal.jpg
805810274460700672;React_Days;React Days;München, Bayern;https://t.co/kXW45oJXT7;19. - 21. März 2018 | München | Das große Trainingsevent für #React | Impressum: https://t.co/TG679d3KQR;False;67;30;4;4;119;2016-12-05 16:25:15;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/810458466397618176/xo7RhmjK_normal.jpg
795565432333864960;Blockchain_Expo;Blockchain Expo;United Kingdom;https://t.co/5dxf1Ui6u1;"#BlockchainExpo Event: London, 18-19 April; Amsterdam, 27-28 June; Santa Clara, 28-29 Nov. #Blockchain #ICO #Cryptocurrency #ethereum";False;5143;687;93;665;509;2016-11-07 09:55:54;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/876823164499759104/u1lf11_v_normal.jpg
781991934227259392;ngVikingsConf;ngVikings Conference;Copenhagen, Denmark;https://t.co/Wm8CQg1Hbi;The main @angular conference in the Nordics, 100% community-driven. Videos:  https://t.co/WSYq5mpDMR See you in 2018!;False;972;407;27;1354;658;2016-09-30 22:59:40;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/941588987386482689/iDa6kBsR_normal.jpg
757843073581715456;apisummit_de;API Summit;Berlin, Deutschland;https://t.co/UWVFUxeOvx;27. - 29. September 2017, Berlin | Das große Trainingsevent für Web #APIs mit #Java, #dotNET und #Nodejs | Impressum: https://t.co/x5w39sryqW;False;145;52;11;56;315;2016-07-26 07:40:43;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/836216763536769025/ZpdaSMv1_normal.jpg
757544634679693312;WestVisions;WestVisions;Duisburg, Deutschland;https://t.co/PRzTyXvKTY;Das #Event für die digitale Community im #Ruhrgebiet • Nächster Termin: TBA 2018 im Landschaftspark Duisburg-Nord • Impressum: https://t.co/hyEICw4a1c;False;252;271;14;425;90;2016-07-25 11:54:50;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/839458436190470144/ifC25KAo_normal.jpg
749900827851104256;TNWNYC;TNW New York | #TNWNY 🇺🇸;Manhattan, NY;https://t.co/oevHzzZKkE;TNW's invite-only event for the technology, communication & media industry | December 12th, 2017 | New York City | #TNWNY;True;988;140;38;479;656;2016-07-04 09:41:04;en;;http://pbs.twimg.com/profile_images/910127969221451776/WTXuRoSp_normal.jpg
