id;author;created_at;text;retweet_count;favorite_count
944725523313209345;Kris__Nova;2017-12-24 00:24:51;(It’s all chocolate) https://t.co/rqKRrRxUc9;0;2
944598935871434752;Kris__Nova;2017-12-23 16:01:50;"RT @mhoye: ""Queue"" is pronounced ""Q"" because the ""ueue"" is silent so I assume ""queue"" is pronounced the same as ""queueueueueueueueueueueueu…";20;0
944596413685608448;Kris__Nova;2017-12-23 15:51:49;"RT @CAICstate: SPECIAL ADVISORY Heavy snow &amp; strong winds have resulted in dangerous conditions in Northern &amp; Central Mtns. https://t.co/GE…";14;0
944580143556767746;Kris__Nova;2017-12-23 14:47:10;@jbeda Look at that helmet! Safety first. Have to make it work on Monday!;0;5
944579278775099392;jbeda;2017-12-23 14:43:44;@Kris__Nova Be safe!!!;0;3
944577882432647170;Kris__Nova;2017-12-23 14:38:11;First night of the break and already pushing climbs past sunset https://t.co/JA4Z5m69bR;0;44
944458190493765632;Kris__Nova;2017-12-23 06:42:34;RT @ralph_squillace: https://t.co/ak6YD03Ur7;3;0
944457080185827328;brendandburns;2017-12-23 06:38:09;RT @deborah_solomon: The President said steel tariffs were coming. They didn't. But foreign steel flooded the market in anticipation. And i…;62;0
944457026335162368;brendandburns;2017-12-23 06:37:56;"RT @davidgura: ""The Republicans' first legislative triumph of 2017 will ensure a financial windfall for the president and his family in a w…";800;0
944418580677910529;jbeda;2017-12-23 04:05:10;2018 is going to be *awesome*. Thanks for being part of the journey @kstewart! https://t.co/IIaTovRJQn;2;25
944343977028812800;jbeda;2017-12-22 23:08:43;@PrometheusIO Examples on scraping pods directly that came up during show but link couldn't be posted. Thanks for t… https://t.co/nlyfspu6RP;4;7
944340551955922945;jbeda;2017-12-22 22:55:07;Phew! Another #TGIK8s in the bag! This session covers some of the raw concepts of @PrometheusIO from a perspective… https://t.co/fw7j3wpoUh;7;62
944337766111838213;brendandburns;2017-12-22 22:44:03;RT @chenoooooooo: Share my improved prototype integrating @Azure container instance in VS @code docker ext. Now you can see all the contain…;23;0
944329604621201408;brendandburns;2017-12-22 22:11:37;"Headed (mostly) offline for the holidays.

I leave you one last gift:

https://t.co/utTxShV8xz";0;16
944329445447315456;brendandburns;2017-12-22 22:10:59;They really were a mistake... https://t.co/86cWabIqcS;0;4
944322275712499712;brendandburns;2017-12-22 21:42:29;In fairness, they have been quite quick in rolling back....;0;1
944314786292015104;brendandburns;2017-12-22 21:12:44;RT @jessfraz: I’m unbelievably grateful to work with people who support me and get me. ❤️ to all the awesome Microsofters :);2;0
944314728062390272;brendandburns;2017-12-22 21:12:30;"rename your repo at noon before a holiday weekend, sure, what could possibly go wrong...

*sigh*

https://t.co/iKyiq57VCj";0;16
944274194669363200;jbeda;2017-12-22 18:31:26;I'm doing a little bit of homework right now to prep for the show as it is a quiet morning. I'll share what I've le… https://t.co/GBJxLS1m6B;4;11
944258762080116737;Kris__Nova;2017-12-22 17:30:07;Woo! First O'Reilly royalty payout - which officially makes me a DINK sucka fools - And I made made it in 2017 https://t.co/cmPuxhhC2D;0;21
