Tweet Text,DateTime (GMT/UTC),Date (GMT/UTC),Time (GMT/UTC),Day of Week (GMT/UTC),Account DateTime,Account Date,Account Time,Account Day of Week,Geo Location,Retweet Count,Favorite Count,Platform,Status URL
Read with your child and explore illustrations. #ChampionCreativity  https://t.co/4oKEpNKOcb,05/09/2015 10:00:02,05/09/2015,10:00:02,Saturday,05/09/2015 10:00:02,05/09/2015,10:00:02,Saturday,,5,2,Twitter Ads,http://www.twitter.com/Crayola/status/640102077641789440
"@Jolenesmartgal, thanks for sharing these photos w/ us. DM us w/ your full mailing address, so we can make this right!",04/09/2015 11:52:59,04/09/2015,11:52:59,Friday,04/09/2015 11:52:59,04/09/2015,11:52:59,Friday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/639768112691322880
"@BrownEyedGirlj8, we think it's completely normal! Thanks for sharing your amazing shading. :)",04/09/2015 11:46:01,04/09/2015,11:46:01,Friday,04/09/2015 11:46:01,04/09/2015,11:46:01,Friday,,0,0,Twitter Web Client,http://www.twitter.com/Crayola/status/639766361892368385
"@mrscostello13, we want to learn more, so we can help! DM us w/ the style #, found on the packaging.",04/09/2015 11:36:06,04/09/2015,11:36:06,Friday,04/09/2015 11:36:06,04/09/2015,11:36:06,Friday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/639763866126151680
"Take creativity to a galaxy far, far away w/ your favorite Crayola colors! Available at local retailers. #ForceFriday http://t.co/B7UW3pHKjz",04/09/2015 10:30:03,04/09/2015,10:30:03,Friday,04/09/2015 10:30:03,04/09/2015,10:30:03,Friday,,3,10,Twitter Ads,http://www.twitter.com/Crayola/status/639747245819072512
"@alisonrauch, glad to hear you and your little one love Crayola!",03/09/2015 18:45:21,03/09/2015,18:45:21,Thursday,03/09/2015 18:45:21,03/09/2015,18:45:21,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/639509500324630529
"@JumpinBeans09, ColorCycle is available in the US and parts of Canada. Learn more, here - http://t.co/WyFsDcfnyk",03/09/2015 18:10:11,03/09/2015,18:10:11,Thursday,03/09/2015 18:10:11,03/09/2015,18:10:11,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/639500651781836804
"@IovineBrothers, we love these tri-color, fresh finds! Thanks for sharing your colorful harvest. :)",03/09/2015 15:23:45,03/09/2015,15:23:45,Thursday,03/09/2015 15:23:45,03/09/2015,15:23:45,Thursday,,1,2,Wilke Global SMART,http://www.twitter.com/Crayola/status/639458766988177408
"@TiffanyDEmidio, Mila &amp; Sal know just the way to add some color to Aunt TT's day. :)",03/09/2015 14:40:11,03/09/2015,14:40:11,Thursday,03/09/2015 14:40:11,03/09/2015,14:40:11,Thursday,,0,1,Twitter Web Client,http://www.twitter.com/Crayola/status/639447803383676928
"@StaceyLynch82, to participate, you do have to register your school. It's easy! Visit our registration page, here - http://t.co/gNpobMXCQO",03/09/2015 11:55:07,03/09/2015,11:55:07,Thursday,03/09/2015 11:55:07,03/09/2015,11:55:07,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/639406262912970752
